name	status	reason
unc_cha_misc.cv0_pref_miss	excluded	uncore event
unc_cha_misc.cv0_pref_vic	excluded	uncore event
unc_cha_misc.rfo_hit_s	excluded	uncore event
unc_cha_misc.rspi_was_fse	excluded	uncore event
unc_cha_misc.wc_aliasing	excluded	uncore event
unc_cha_osb.local_invitoe	excluded	uncore event
unc_cha_osb.local_read	excluded	uncore event
unc_cha_osb.off_pwrheuristic	excluded	uncore event
unc_cha_osb.remote_read	excluded	uncore event
unc_cha_osb.remote_readinvitoe	excluded	uncore event
unc_cha_osb.rfo_hits_snp_bcast	excluded	uncore event
unc_cha_pmm_memmode_nm_invitox.local	excluded	uncore event
unc_cha_pmm_memmode_nm_invitox.remote	excluded	uncore event
unc_cha_pmm_memmode_nm_invitox.setconflict	excluded	uncore event
unc_cha_pmm_memmode_nm_setconflicts.llc	excluded	uncore event
unc_cha_pmm_memmode_nm_setconflicts.sf	excluded	uncore event
unc_cha_pmm_memmode_nm_setconflicts.tor	excluded	uncore event
unc_cha_pmm_memmode_nm_setconflicts2.iodc	excluded	uncore event
unc_cha_pmm_memmode_nm_setconflicts2.memwr	excluded	uncore event
unc_cha_pmm_memmode_nm_setconflicts2.memwrni	excluded	uncore event
unc_cha_pmm_qos.ddr4_fast_insert	excluded	uncore event
unc_cha_pmm_qos.rej_irq	excluded	uncore event
unc_cha_pmm_qos.slow_insert	excluded	uncore event
unc_cha_pmm_qos.slowtorq_skip	excluded	uncore event
unc_cha_pmm_qos.throttle	excluded	uncore event
unc_cha_pmm_qos.throttle_irq	excluded	uncore event
unc_cha_pmm_qos.throttle_prq	excluded	uncore event
unc_cha_pmm_qos_occupancy.ddr_fast_fifo	excluded	uncore event
unc_cha_pmm_qos_occupancy.ddr_slow_fifo	excluded	uncore event
unc_cha_read_no_credits.mc0	excluded	uncore event
unc_cha_read_no_credits.mc1	excluded	uncore event
unc_cha_read_no_credits.mc2	excluded	uncore event
unc_cha_read_no_credits.mc3	excluded	uncore event
unc_cha_read_no_credits.mc4	excluded	uncore event
unc_cha_read_no_credits.mc5	excluded	uncore event
unc_cha_requests.invitoe	excluded	uncore event
unc_cha_requests.invitoe_local	excluded	uncore event
unc_cha_requests.invitoe_remote	excluded	uncore event
unc_cha_requests.reads	excluded	uncore event
unc_cha_requests.reads_local	excluded	uncore event
unc_cha_requests.reads_remote	excluded	uncore event
unc_cha_requests.writes	excluded	uncore event
unc_cha_requests.writes_local	excluded	uncore event
unc_cha_requests.writes_remote	excluded	uncore event
unc_cha_rxc_inserts.ipq	excluded	uncore event
unc_cha_rxc_inserts.irq	excluded	uncore event
unc_cha_rxc_inserts.irq_rej	excluded	uncore event
unc_cha_rxc_inserts.prq	excluded	uncore event
unc_cha_rxc_inserts.prq_rej	excluded	uncore event
unc_cha_rxc_inserts.rrq	excluded	uncore event
unc_cha_rxc_inserts.wbq	excluded	uncore event
